,tweet,user,location
0,"just curious! 
Why not turn airplanes into oxygen equipped hospital? 
They already have oxygen system in place in p… https://t.co/AFixtZF0RY",harshilh369,"San Francisco, CA"
1,"rt @vikramdevinc: 100 #oxygen #beds are #available in #jaipur

covid care centre, radha soami satsang beas, bilwa

contact: 7023557768, 014…",RamkhilariSood,"Jodhpur, India"
2,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,dev_vaish,"Agra, India"
3,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Muslimah_MINA,
4,rt @aiadmkofficial: honourable leader of opposition thiru. @epstamilnadu writes to honourable prime minister thiru. @narendramodi requestin…,RajeshSRaje,Cuddalore
5,@fact aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencies...comin… https://t.co/h3qmpf1xhx,jha_yatendra,India
6,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,TelanganaVoices,Hyderabad
7,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,1995MODASSIR,"Amawan,RAJAULI, Nawadah(Bihar)"
8,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,BentinZtweetZ,"Bengaluru, India"
9,"rt @ians_india: ntpc ltd (@ntpclimited), india's largest integrated energy company, has added more than 500 beds with #oxygen support and m…",AtifEja11027749,"New Delhi, India"
10,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",akashmi30,
11,in a major boost to oxygen supply in  #andhrapradesh personnel of eastern naval command of @indiannavy repaired two… https://t.co/f9tl7qftnw,scribesoldier,
12,@telebusiness @telegraph @jamescrisp6 @lucymburton @harryyorke1 aiming to plant #smartoxytree with 95% pure #oxygen… https://t.co/9y9yrbhqey,jha_yatendra,India
13,"rt @aaravseth_: #sunday4securedfuture is back in action.🤝
planted a #treeofhope🌳 to surpass this phase from my country &amp; world. 
lets plant…",ElisaSVB,
14,rt @jha_yatendra: @abhishekbehl @mlkhattar aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emerge…,wordsandviews,"Gurgaon, India"
15,cylinder waali bitiya: #shahjahanpur's daughter who helps everyone with #oxygen https://t.co/xf0zhp1naa,thetribunechd,Chandigarh
16,@thegef @undp aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencies… https://t.co/ogn4qusnir,jha_yatendra,India
17,@mygovindia @pmoindia @fooddeptgoi @unwfp_india @pib_india @mib_india aiming to plant #smartoxytree with 95% pure… https://t.co/p68bmjdaqa,jha_yatendra,India
18,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",AmitSha01709152,
19,"rt @ralpharakal: 34,200 kgs #zeolite arrive at @blrairport from rome in two air india flights. officials say this is the first of many batc…",garg09,India
20,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,smshivaraj07,"Bengaluru, Karnataka, India"
21,rt @pib_india: the government is dedicated on making #covid hospitals and covid care centres. oxygen plants are being setup with the latest…,RameshC80277218,
