,tweet,user,location,label,split
0,"just curious! 
Why not turn airplanes into oxygen equipped hospital? 
They already have oxygen system in place in p… https://t.co/AFixtZF0RY",harshilh369,"San Francisco, CA",0,-1.071454260652137
2,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,dev_vaish,"Agra, India",0,-1.6492485407955142
3,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Muslimah_MINA,,1,-0.5110462469614925
5,@fact aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencies...comin… https://t.co/h3qmpf1xhx,jha_yatendra,India,0,-1.0279243579096207
6,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,TelanganaVoices,Hyderabad,0,1.8426721654951823
8,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,BentinZtweetZ,"Bengaluru, India",1,0.5150111661361846
9,"rt @ians_india: ntpc ltd (@ntpclimited), india's largest integrated energy company, has added more than 500 beds with #oxygen support and m…",AtifEja11027749,"New Delhi, India",0,-0.7395668232062969
10,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",akashmi30,,0,-0.8297134988017557
13,"rt @aaravseth_: #sunday4securedfuture is back in action.🤝
planted a #treeofhope🌳 to surpass this phase from my country &amp; world. 
lets plant…",ElisaSVB,,0,-1.0087994236610178
14,rt @jha_yatendra: @abhishekbehl @mlkhattar aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emerge…,wordsandviews,"Gurgaon, India",0,-0.84319582683591
15,cylinder waali bitiya: #shahjahanpur's daughter who helps everyone with #oxygen https://t.co/xf0zhp1naa,thetribunechd,Chandigarh,0,1.2276759257082648
16,@thegef @undp aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencies… https://t.co/ogn4qusnir,jha_yatendra,India,0,0.4511947045529689
